id,name,aliases,equipment,category,laterality,loading,setup,primary_muscle,credited_muscles,fractional_allocations,rationale,confidence,allocation_confidence,source_ids,limitations
p5-band-wrist-extension,Band Wrist Extension,,Resistance band,Wrist extension,unilateral,external,Forearm supported palm down; band pulls hand toward flexion.,Wrist extensors,Wrist extensors,Wrist extensors=1,Dynamic wrist extension directly loads wrist extensors; passive gripping does not receive the same credit.,medium,Wrist extensors=medium,anatomy-upper | wrist,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-wrist-roller-flexion-direction,Wrist Roller — Flexion Direction,,Wrist roller,Wrist flexion,bilateral,external,"Forearms supported where possible; roll load up using wrist flexion, reverse slowly.",Wrist flexors,Wrist flexors,Wrist flexors=1,Dynamic wrist flexion directly loads wrist flexors; this differs from finger gripping or elbow flexion.,medium,Wrist flexors=medium,anatomy-upper | wrist,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-wrist-roller-extension-direction,Wrist Roller — Extension Direction,,Wrist roller,Wrist extension,bilateral,external,"Forearms supported where possible; roll load up using wrist extension, reverse slowly.",Wrist extensors,Wrist extensors,Wrist extensors=1,Dynamic wrist extension directly loads wrist extensors; passive gripping does not receive the same credit.,medium,Wrist extensors=medium,anatomy-upper | wrist,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-power-clean,Power Clean,,Barbell,Weightlifting / ballistic compound,bilateral,external,"Pull bar from floor, explosive hip/knee extension, catch above parallel; reset each rep.",Glute max,Glute max | Quads | Upper Traps,Glute max=1 | Quads=0.5 | Upper Traps=0.25,"Hip extension drives the pull with knee extension and a brief active shrug. The mapping is a rough accounting placeholder for loaded working sets, not equivalent to hard hypertrophy sets.",low,Glute max=low | Quads=low | Upper Traps=low,anatomy-lower | anatomy-upper | olympic,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Technique practice, low-effort speed sets and conditioning bouts are not validated hypertrophy-equivalent sets; no beyond-failure work."
p5-hang-power-clean,Hang Power Clean,,Barbell,Weightlifting / ballistic compound,bilateral,external,Begin above knees in hang; extend hips/knees and catch above parallel.,Glute max,Glute max | Quads | Upper Traps,Glute max=1 | Quads=0.5 | Upper Traps=0.25,"Hip extension drives the pull with knee extension and a brief active shrug. The mapping is a rough accounting placeholder for loaded working sets, not equivalent to hard hypertrophy sets.",low,Glute max=low | Quads=low | Upper Traps=low,anatomy-lower | anatomy-upper | olympic,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Technique practice, low-effort speed sets and conditioning bouts are not validated hypertrophy-equivalent sets; no beyond-failure work."
p5-clean-pull,Clean Pull,,Barbell,Weightlifting / ballistic compound,bilateral,external,Clean-width grip from floor; extend hips/knees and shrug without catch.,Glute max,Glute max | Quads | Upper Traps,Glute max=1 | Quads=0.5 | Upper Traps=0.25,"Hip extension drives the pull with knee extension and a brief active shrug. The mapping is a rough accounting placeholder for loaded working sets, not equivalent to hard hypertrophy sets.",low,Glute max=low | Quads=low | Upper Traps=low,anatomy-lower | anatomy-upper | olympic,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Technique practice, low-effort speed sets and conditioning bouts are not validated hypertrophy-equivalent sets; no beyond-failure work."
p5-snatch-pull,Snatch Pull,,Barbell,Weightlifting / ballistic compound,bilateral,external,"Wide snatch grip from floor; coordinated extension and shrug, no catch.",Glute max,Glute max | Quads | Upper Traps,Glute max=1 | Quads=0.5 | Upper Traps=0.25,"Hip extension drives the pull with knee extension and a brief active shrug. The mapping is a rough accounting placeholder for loaded working sets, not equivalent to hard hypertrophy sets.",low,Glute max=low | Quads=low | Upper Traps=low,anatomy-lower | anatomy-upper | olympic,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Technique practice, low-effort speed sets and conditioning bouts are not validated hypertrophy-equivalent sets; no beyond-failure work."
p5-hang-high-pull,Hang High Pull,,Barbell,Weightlifting / ballistic compound,bilateral,external,Begin above knees; explosive extension with brief shrug and high elbows; no catch.,Glute max,Glute max | Quads | Upper Traps,Glute max=1 | Quads=0.5 | Upper Traps=0.25,"Hip extension drives the pull with knee extension and a brief active shrug. The mapping is a rough accounting placeholder for loaded working sets, not equivalent to hard hypertrophy sets.",low,Glute max=low | Quads=low | Upper Traps=low,anatomy-lower | anatomy-upper | olympic,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Technique practice, low-effort speed sets and conditioning bouts are not validated hypertrophy-equivalent sets; no beyond-failure work."
p5-power-snatch,Power Snatch,,Barbell,Weightlifting / ballistic compound,bilateral,external,"Wide grip from floor; catch overhead above parallel, controlled reset.",Glute max,Glute max | Quads | Upper Traps,Glute max=1 | Quads=0.5 | Upper Traps=0.25,"Hip extension drives the pull with knee extension and a brief active shrug. The mapping is a rough accounting placeholder for loaded working sets, not equivalent to hard hypertrophy sets.",low,Glute max=low | Quads=low | Upper Traps=low,anatomy-lower | anatomy-upper | olympic,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Technique practice, low-effort speed sets and conditioning bouts are not validated hypertrophy-equivalent sets; no beyond-failure work."
p5-barbell-push-press,Barbell Push Press,BB Push Press,Barbell,Weightlifting / ballistic compound,bilateral,external,Dip knees then drive bar overhead; leg drive differentiates it from strict press.,Anterior Delts,Anterior Delts | Triceps | Quads,Anterior Delts=1 | Triceps=0.5 | Quads=0.25,Leg drive assists overhead shoulder elevation and elbow extension; deltoid is designated primary. Power sets do not have validated hypertrophy set equivalence.,low,Anterior Delts=low | Triceps=low | Quads=low,anatomy-lower | anatomy-upper | olympic,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Technique practice, low-effort speed sets and conditioning bouts are not validated hypertrophy-equivalent sets; no beyond-failure work."
p5-two-hand-kettlebell-swing,Two-Hand Kettlebell Swing,Russian kettlebell swing | Two-Hand KB Swing,Kettlebell,Ballistic hip hinge,bilateral,external,"Hip-driven hinge swing to chest height; arms remain relaxed, no squat-and-front-raise.",Glute max,Glute max | Hamstrings,Glute max=1 | Hamstrings=0.5,"Ballistic hip extension drives the bell; arms guide rather than lift. Hip extensors receive conservative credit; grip, abs and back stabilization are omitted.",low,Glute max=low | Hamstrings=low,anatomy-lower | olympic,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Technique practice, low-effort speed sets and conditioning bouts are not validated hypertrophy-equivalent sets; no beyond-failure work."
p5-one-hand-kettlebell-swing,One-Hand Kettlebell Swing,One-Hand KB Swing,Kettlebell,Ballistic hip hinge,unilateral,external,One hand holds bell; hip-driven swing to chest height without torso rotation.,Glute max,Glute max | Hamstrings,Glute max=1 | Hamstrings=0.5,"Ballistic hip extension drives the bell; arms guide rather than lift. Hip extensors receive conservative credit; grip, abs and back stabilization are omitted.",low,Glute max=low | Hamstrings=low,anatomy-lower | olympic,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Technique practice, low-effort speed sets and conditioning bouts are not validated hypertrophy-equivalent sets; no beyond-failure work. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-kettlebell-clean,Kettlebell Clean,KB Clean,Kettlebell,Weightlifting / ballistic compound,unilateral,external,"Hip-driven pull into rack; one hand guides bell, no reverse-curl motion.",Glute max,Glute max | Quads | Upper Traps,Glute max=1 | Quads=0.5 | Upper Traps=0.25,"Hip extension drives the pull with knee extension and a brief active shrug. The mapping is a rough accounting placeholder for loaded working sets, not equivalent to hard hypertrophy sets.",low,Glute max=low | Quads=low | Upper Traps=low,anatomy-lower | anatomy-upper | olympic,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume. Technique practice, low-effort speed sets and conditioning bouts are not validated hypertrophy-equivalent sets; no beyond-failure work."
p5-kettlebell-snatch,Kettlebell Snatch,KB Snatch,Kettlebell,Weightlifting / ballistic compound,unilateral,external,"Hip-driven pull to overhead fixation; controlled bell path, avoid arm-dominant lifting.",Glute max,Glute max | Quads | Upper Traps,Glute max=1 | Quads=0.5 | Upper Traps=0.25,"Hip extension drives the pull with knee extension and a brief active shrug. The mapping is a rough accounting placeholder for loaded working sets, not equivalent to hard hypertrophy sets.",low,Glute max=low | Quads=low | Upper Traps=low,anatomy-lower | anatomy-upper | olympic,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume. Technique practice, low-effort speed sets and conditioning bouts are not validated hypertrophy-equivalent sets; no beyond-failure work."
